cust_id,yp_probability,predicted_yp_revenue,internet_probability,predicted_internet_rev,dm_probability,predicted_dm_rev,credit_flag
516243000000,0.00316300,308.19708800,0.00353800,420.33316000,0.00018100,458.88317700,0.00000000
516244000000,0.00601700,686.08479600,0.00647400,605.01347900,0.00030100,775.43521100,0.00000000
516244000000,0.00713000,513.72333900,0.00173100,104.31091100,0.00017200,442.89176700,0.00000000
516244000000,0.00734000,507.24562700,0.00790800,591.40880500,0.00033300,1199.91000000,0.00000000
516244000000,0.00084700,92.59216900,0.00632500,670.73544000,0.00030200,865.75182400,0.00000000
516245000000,0.00988900,756.34829600,0.00508600,409.87323700,0.00043400,1332.30000000,0.00000000
516245000000,0.00772700,576.02331800,0.00710600,562.26194800,0.00039800,1121.24000000,0.00000000
516245000000,0.00128400,335.07481600,0.00738800,656.76619700,0.00029400,892.16841700,0.00000000
516245000000,0.03000000,1166.41000000,0.03000000,932.99400000,0.00030700,996.26091900,0.00000000
516246000000,0.02577400,1126.81000000,0.01119600,915.66250000,0.00032800,1079.73000000,0.00000000
516246000000,0.00778700,704.21097300,0.00126600,0.00000000,0.00018000,122.03511500,0.00000000
516246000000,0.00635000,540.12403600,0.00177500,110.15409600,0.00018000,116.11658900,0.00000000
516246000000,0.01062700,511.12155100,0.00437900,239.09805000,0.00020600,149.93758500,0.00000000
516247000000,0.00862000,527.64025800,0.00486400,438.42458400,0.00018100,428.53294500,0.00000000
516247000000,0.01119600,1007.92000000,0.01097200,807.28750000,0.00266700,1255.48000000,0.00000000
516247000000,0.02779300,1063.11000000,0.00933300,743.25750000,0.00126700,1487.69000000,0.00000000
516248000000,0.02298000,1098.10000000,0.01070500,888.86200000,0.00042500,1355.45000000,0.00000000
516248000000,0.00739900,602.15329100,0.01194300,925.48000000,0.00037200,1431.36000000,0.00000000
516248000000,0.03000000,1057.67000000,0.00571500,313.15262500,0.00027200,554.14422500,0.00000000
516249000000,0.00138900,490.13616100,0.00315200,230.27647400,0.00033800,1205.76000000,0.00000000
516249000000,0.02970200,1178.56000000,0.01499600,702.81250000,0.00048100,1519.84000000,0.00000000
516249000000,0.00592900,300.32908100,0.00390300,571.25098700,0.00019600,556.94557700,0.00000000
516249000000,0.00083900,105.59894300,0.00274700,271.85471400,0.00033200,1403.04000000,0.00000000
516250000000,0.03088700,1014.35000000,0.02253100,1106.28000000,0.00058100,1261.84000000,0.00000000
